Company Name,Logo URL,Description Line,,,,,,,
1to1 help,https://d3jvo6zzr1v6z9.cloudfront.net/microsite/logo_hd.png,Employee assistance program provider offering counseling and wellness services.,,,,,,,
24-7 Intouch,https://www.logo-designer.co/storage/2023/01/2023-24-7-intouch-new-logo-name-change-to-intouchcx.jpg,Global customer experience outsourcing company providing contact center solutions.,,,,,,,
A.K. Capital Services Limited,https://www.equitybulls.com/equitybullsadmin/uploads/A K Capital Services Limited.jpg,#N/A,,,,,,,
Abbott,https://logospng.org/download/abbott-laboratories/abbott-laboratories-4096.png,"Global healthcare company that develops diagnostics, medical devices, nutrition products, and pharmaceuticals.",,,,,,,
Accelya Group,https://companieslogo.com/img/orig/ACCELYA.NS_BIG-7341d077.png?t=1604870857,Technology solutions provider for the airline and travel industry.,,,,,,,
Accenture,https://logos-world.net/wp-content/uploads/2020/06/Accenture-Symbol.png,"Global professional services company providing strategy, consulting, digital, technology, and operations services.",,,,,,,
Ace Group,https://www.shutterstock.com/shutterstock/photos/2366176455/display_1500/stock-vector-ace-group-logo-vector-vector-ace-group-transparent-background-editorial-vector-logo-transparent-2366176455.jpg,#N/A,,,,,,,
acme services,http://companies.naukri.com/acme-services-new-dev/wp-content/uploads/sites/33734/2020/06/logo-web.png,Business process outsourcing services provider.,,,,,,,
ACNX Business Services,https://acnx.co.in/img/ACNX-logo.png,Business consulting and outsourcing services firm.,,,,,,,
ACT Fibernet,https://images.fonearena.com/blog/wp-content/uploads/2019/02/ACT-Fibernet.jpg,One of India's leading fiber internet service providers.,,,,,,,
AD infra,https://5.imimg.com/data5/SELLER/Logo/2024/5/415016398/YP/HC/JG/63749181/ad-infra-logo.png,Infrastructure development and management company.,,,,,,,
Addonix Technologies Pvt.Ltd.,https://www.3ds.com/fileadmin/depositary/alliances/CRM_SITELOGO/20241000/200000000095381_1addonix-logo.jpg,#N/A,,,,,,,
Adecco,https://logos-world.net/wp-content/uploads/2023/08/Adecco-Logo.png,Global staffing and HR solutions company.,,,,,,,
Aditya Birla Capital,https://i.pinimg.com/originals/01/78/be/0178be444501f77f97179384461b8cbb.jpg,Financial services company offering various financial products and services.,,,,,,,
Aditya birla financial limited,https://best20.in/wp-content/uploads/2022/12/Aditya-Birla-Finance-Limited-Logo-300x263.png,#N/A,,,,,,,
Aditya Birla Sun Life AMC Limited,https://www.equitybulls.com/equitybullsadmin/uploads/Aditya Birla Sun Life AMC Limited 4.jpg,#N/A,,,,,,,
Air India (TATA Group),https://english.cdn.zeenews.com/sites/default/files/Air-India-Logo-Up-1.jpg,"India's national airline, now owned by the Tata Group.",,,,,,,
Ajanta Pharma Limited (APL),http://www.pharmacircle.com/_get_company_logo.php?company_id=7821,#N/A,,,,,,,
Akasa air,https://cdn.freelogovectors.net/wp-content/uploads/2022/09/akasa-air-logo-freelogovectors.net_.png,New Indian airline offering domestic flights.,,,,,,,
Akzonobel,https://logos-world.net/wp-content/uploads/2022/05/Akzonobel-Logo.jpg,Global paints and coatings company.,,,,,,,
Allcargo Logistics,https://companieslogo.com/img/orig/ALLCARGO.NS_BIG-af354316.png?t=1604232061,Integrated logistics solutions provider.,,,,,,,
Allegis Group,https://vectorseek.com/wp-content/uploads/2023/04/Allegis-Group-Logo-Vector.jpg,Global talent solutions firm providing staffing and recruitment services.,,,,,,,
American Express,https://logodownload.org/wp-content/uploads/2014/04/amex-american-express-logo.png,Global financial services corporation offering payment cards and related services.,,,,,,,
Ample Leap,https://media.glassdoor.com/sqll/7765692/ample-leap-cognition-and-technologies-squarelogo-1663238245968.png,HR consulting and recruitment services provider.,,,,,,,
Anand Rathi Shares and Stock Brokers Ltd,https://www.greatplacetowork.in/great/api/assets/uploads/5649/logo/logo.jpg,#N/A,,,,,,,
Anarock,https://mma.prnewswire.com/media/830831/ANAROCK_Logo.jpg?p=facebook,Real estate services company specializing in consulting and property solutions.,,,,,,,
Andromeda Sales & Distribution Pvt Ltd,https://image3.mouthshut.com/images/imagesp/925842094s.png,#N/A,,,,,,,
Angular Minds,https://startupxplore.com/uploads/ff80808163daa14a0163fe85382d0da2-large.jpg,Software development company specializing in AngularJS technologies.,,,,,,,
API Holding,https://transparentcapital.co.in/assets/img/api.png,#N/A,,,,,,,
ARCHER Transnational Systems Pvt. Ltd.,https://media.glassdoor.com/banner/bh/2469966/archer-systems-banner-1608171227794.jpg,#N/A,,,,,,,
ArtECH India,https://www.artech.com/wp-content/uploads/2020/12/Artech-Logo.png,Digital solutions provider for the art and culture industry.,,,,,,,
Assiduus,https://www.finsmes.com/wp-content/uploads/2022/10/Assiduus_Global_Logo.jpeg,Global e-commerce accelerator and distribution company.,,,,,,,
Ather Energy,https://solarimpulse.com/files/companies/logo/2018-08-01-095133/logo_Ather_Energy.jpg,Electric scooter manufacturer and clean energy technology company.,,,,,,,
AU Small Finance Bank,https://companieslogo.com/img/orig/AUBANK.NS_BIG-6b40ea0b.png?t=1613441899,Banking institution focused on serving the underserved and unserved.,,,,,,,
Avaya,http://www.cetel.com.pl/wp-content/uploads/2016/05/2000px-Avaya_Logo.svg_.png,Global communications technology company providing cloud solutions.,,,,,,,
Axis Bank,https://4.bp.blogspot.com/-P5BiFJK-kL0/VKGZKc9UkTI/AAAAAAAAH7Y/jOwrZaTRRU0/s1600/Logo+Axis_Bank.png,One of India's leading private sector banks offering various financial services.,,,,,,,
Bajaj Allianz General Insurance,https://www.bajajallianz.com/content/dam/bagic/press-kit/Bagic-New-Logo-White-Blue_Bg_R1.png,#N/A,,,,,,,
Bajaj capital,https://www.newsvoir.com/images/user/logo/_bajaj-capital-official-logo.png,Financial services company offering investment and insurance advisory.,,,,,,,
Bajaj Finserv,https://www.companieshistory.com/wp-content/uploads/2021/12/Bajaj-Finserv-Limited-logo.jpg,"Financial services company providing loans, insurance, and investment solutions.",,,,,,,
Bandhan Bank,https://logowik.com/content/uploads/images/bandhan-bank3983.jpg,Banking institution focused on micro-finance and retail banking.,,,,,,,
Beyondsoft,http://photos.prnewswire.com/prnfull/20151002/273436LOGO,IT services and consulting company offering technology solutions.,,,,,,,
Bharat Financial Inclusion Limited,https://www.bfil.co.in/images/logos/BFIL-Logo.jpg,#N/A,,,,,,,
Bhartiya AXA,https://brandlogovector.com/wp-content/uploads/2021/11/Bharti-AXA-Logo-Small.png,#N/A,,,,,,,
Bisleri,http://www.logotypes101.com/logos/912/9FE11AF655031FB2E40605E0426D21A5/bisleriaquacolor.png,Leading bottled water company in India.,,,,,,,
Bizom,https://bizom.com/wp-content/uploads/2021/07/Bizom_logo_Blue-1060879244-1635316195620.png,Retail intelligence platform offering SaaS solutions for consumer goods companies.,,,,,,,
Blue Star Diamonds Pvt. Ltd,https://media-exp1.licdn.com/dms/image/C4E0BAQEmWNMLqFiOIw/company-logo_200_200/0/1622720593767?e=2147483647&v=beta&t=Ehyd3j1dG4McADhnkix94gyjZsoIJ0TT9F_rwyw34r0,#N/A,,,,,,,
BlueKaktus,https://e-itm.net/wp-content/uploads/2022/03/feb22-Bluekaktus-Logo.jpg,Supply chain management software company for fashion and retail.,,,,,,,
Book My Show,https://www.pngitem.com/pimgs/m/578-5784441_bookmyshow-nextbigbrand-transparent-book-my-show-logo-hd.png,#N/A,,,,,,,
Borosil,https://bakewithshivesh.com/wp-content/uploads/2022/04/Borosil-Logo.jpeg,Leading manufacturer of glassware and consumer products.,,,,,,,
Buzzworks Business Services Pvt. Ltd.,"https://images-wixmp-ed30a86b8c4ca887773594c2.wixmp.com/f/54ed74c7-c291-4edc-9c22-1517f0bb6e84/df8d3ll-25bc1d9c-7d96-46fe-b509-bc5971e13037.jpg/v1/fill/w_250,h_250,q_75,strp/buzzworks_logo_by_buzzworksbusiness_df8d3ll-fullview.jpg?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJzdWIiOiJ1cm46YXBwOjdlMGQxODg5ODIyNjQzNzNhNWYwZDQxNWVhMGQyNmUwIiwiaXNzIjoidXJuOmFwcDo3ZTBkMTg4OTgyMjY0MzczYTVmMGQ0MTVlYTBkMjZlMCIsIm9iaiI6W1t7ImhlaWdodCI6Ijw9MjUwIiwicGF0aCI6IlwvZlwvNTRlZDc0YzctYzI5MS00ZWRjLTljMjItMTUxN2YwYmI2ZTg0XC9kZjhkM2xsLTI1YmMxZDljLTdkOTYtNDZmZS1iNTA5LWJjNTk3MWUxMzAzNy5qcGciLCJ3aWR0aCI6Ijw9MjUwIn1dXSwiYXVkIjpbInVybjpzZXJ2aWNlOmltYWdlLm9wZXJhdGlvbnMiXX0.zToXcbkmSMkeb3hLKt7RUszWWXEdSeMl7lyQDK-khSw",#N/A,,,,,,,
Bwise - BFSI & IT Hiring,,#N/A,,,,,,,
ICICI Prudential,https://iconape.com/wp-content/files/ek/264486/svg/264486.svg,#N/A,,,,,,,
CABT Group pvt LTD,https://www.cabtechnologies.com/wp-content/uploads/2021/07/CABTechnologies.png,#N/A,,,,,,,
Calsoft.,https://logosrated.net/wp-content/uploads/parser/Calsoft-Logo-1.jpg,#N/A,,,,,,,
Canera HSBC,https://mma.prnewswire.com/media/2535578/4978260/Canara_HSBC_Life_Insurance_Logo.jpg?p=facebook,#N/A,,,,,,,
CapitalSquare Advisors Pvt. Ltd.,http://primedatabasegroup.com/primegroup_client/client/capitalsquarelogo.png,#N/A,,,,,,,
Careercraft,https://careercraft.com/images/og-image.png,Career development and recruitment services provider.,,,,,,,
Chetana Education Limited,https://cdn.statically.io/img/chetanaeducation.com/wp-content/uploads/2021/02/chetna-1.jpg?quality=100&f=auto,#N/A,,,,,,,
Choice india,https://tradebrains.in/wp-content/uploads/2022/07/Choice-India-Broking-Logo.png,Financial services company providing broking and advisory services.,,,,,,,
Ciferon.,https://listcarbrands.com/wp-content/uploads/2016/02/Citroen-Logo-history.png,#N/A,,,,,,,
CNH,https://www.janeirodigital.com/wp-content/uploads/2017/03/cnh-logo.png,Global manufacturer of agricultural and construction equipment.,,,,,,,
Coders Brain,https://www.codersbrain.com/wp-content/uploads/2023/03/logo-black.png,Software development and IT consulting company.,,,,,,,
